Episode,Average Reward
1,-0.005066406249999998
2,-0.0048750000000000035
3,-0.003882812500000001
4,-0.003757812500000001
5,-0.005488281250000004
6,-0.0038046875000000003
7,-0.004953124999999999
8,-0.0048359375
9,-0.0038203125000000017
10,-0.003013671875000001
11,-0.004343749999999993
12,-0.0019531250000000013
13,-0.0038593750000000004
14,-0.0026933593750000004
15,-0.0022265625000000015
16,-0.0022382812499999994
17,-0.0023828124999999995
18,-0.0011679687500000008
19,-0.0022968750000000016
20,-0.0022890625000000016
21,-0.00037695312500000017
22,-0.0012050781250000009
23,-0.0027109374999999976
24,-0.0005019531250000003
25,-0.0020000000000000013
