Episode,Average Reward
1,-0.003726562500000002
2,-0.004070312499999998
3,-0.004843750000000002
4,-0.0034062500000000017
5,-0.004441406250000001
6,-0.004976562500000002
7,-0.004605468750000002
8,-0.0037343750000000003
9,-0.0037421875000000003
10,-0.0038242187500000012
11,-0.003800781250000002
12,-0.004337890625000001
13,-0.0034921875
14,-0.0036523437499999993
15,-0.0023554687500000017
16,-0.003632812500000002
17,-0.0019531250000000013
18,-0.0025546875000000014
19,-0.0019687500000000013
20,-0.0028164062500000003
21,-0.0021718750000000006
22,-0.0033164062500000008
23,-0.0019843750000000013
24,-0.0023281250000000008
25,-0.0022734375000000016
26,-0.0019570312500000013
27,-0.0026386718749999982
28,-0.0021718750000000006
29,-0.0020546875000000014
30,-0.002636718750000001
31,-0.0007558593750000006
32,-0.0023125000000000008
33,-0.0020312500000000014
34,-0.001367187500000001
35,-0.0019785156250000015
36,-0.002414062500000001
37,-0.0022421875000000003
38,-0.0020253906250000007
39,-0.0020000000000000013
40,-0.0020976562500000014
41,-0.0023203125000000008
42,-0.002156250000000001
43,-0.0020664062500000005
44,-0.0020605468750000007
45,-0.0021328125000000006
46,-0.003607421874999992
47,-0.002009765625000001
48,-0.0021523437500000006
49,-0.0020000000000000013
50,-0.002328125000000001
51,-0.002453125000000001
52,-0.0021796875000000006
53,-0.0021542968750000004
54,-0.0026132812499999993
55,-0.0019746093750000015
56,-0.0021640625000000006
57,-0.0020156250000000014
58,-0.0020371093750000016
59,-0.0020488281250000007
60,-0.0020683593749999995
61,-0.0021582031249999987
62,-0.002488281249999997
63,-0.0020058593750000016
64,-0.0028671874999999995
65,-0.003736328124999998
66,-0.0019804687500000013
67,-0.0022304687500000007
68,-0.0020175781250000016
69,-0.002037109375000001
70,-0.002787109375000001
71,-0.0021835937500000015
72,-0.0022734375000000007
73,-0.0019296875000000015
74,-0.0019609375000000013
75,-0.0019140625000000015
76,-0.0020781250000000014
77,-0.0020703125000000005
78,-0.002949218749999999
79,-0.0019941406250000007
80,-0.002279296874999999
81,-0.0020292968750000016
82,-0.0021874999999999998
83,-0.002134765625
84,-0.0020195312500000014
85,-0.0019843750000000013
86,-0.0019843750000000013
87,-0.002181640625
88,-0.0023203124999999995
89,-0.0023750000000000017
90,-0.0020351562500000005
91,-0.0019882812500000013
92,-0.0021074218750000012
93,-0.002265624999999998
94,-0.002109375
95,-0.001984375000000001
96,-0.0020136718750000007
97,-0.002339843749999999
98,-0.002013671875000001
99,-0.002076171875000001
100,-0.0021308593750000004
