Episode,Average Reward
1,-0.005066406249999998
2,-0.0048750000000000035
3,-0.003882812500000001
4,-0.003757812500000001
5,-0.0054804687500000044
6,-0.004312499999999995
7,-0.004132812499999996
8,-0.004851562499999999
9,-0.003812500000000002
10,-0.003013671875000001
11,-0.004351562499999992
12,-0.0019375000000000015
13,-0.0038593749999999995
14,-0.0023281250000000008
15,-0.002703125000000001
16,-0.0021171874999999997
17,-0.0016718750000000013
18,-0.001460937500000001
19,-0.0030859375000000014
20,-0.0005000000000000003
21,-0.0021464843750000013
22,-0.0002011718750000001
23,-0.0017519531250000013
24,-0.0005273437500000004
25,-0.001410156250000001
26,-0.001347656250000001
27,-0.0007656250000000006
28,-0.0010996093750000008
29,-0.0011757812500000008
30,-0.0005410156250000004
31,-0.0011835937500000008
32,-0.001316406250000001
33,-0.001275390625000001
34,-0.0005625000000000004
35,-0.0002480468750000001
36,-0.0003457031250000002
37,-0.0003828125000000002
38,-0.0018808593750000012
39,-0.0003808593750000003
40,-0.00024023437500000016
41,-0.00020898437500000013
42,-0.0007460937500000006
43,-0.0015097656250000011
44,-0.00034960937500000026
45,-0.0007421875000000006
46,-0.0004628906250000003
47,-0.0004707031250000003
48,-0.00044335937500000034
49,-0.00041015625000000026
50,-0.0011621093750000008
