Episode,Average Reward
1,-0.003726562500000002
2,-0.004070312499999998
3,-0.004843750000000002
4,-0.0034062500000000017
5,-0.004441406250000001
6,-0.004976562500000002
7,-0.005246093749999985
8,-0.0037343750000000003
9,-0.0037499999999999994
10,-0.004656250000000002
11,-0.004769531250000002
12,-0.003216796875
13,-0.004593749999999992
14,-0.004371093749999993
15,-0.002386718750000001
16,-0.003640625000000001
17,-0.0019375000000000015
18,-0.0029375000000000004
19,-0.0020859375000000006
20,-0.003492187500000001
21,-0.0015781250000000012
22,-0.002603515625000002
23,-0.0019140625000000015
24,-0.0005312500000000004
25,-0.0011464843750000008
26,-0.0019609375000000013
27,-0.0021210937500000006
28,-0.0017148437500000013
29,-0.0011953125000000008
30,-0.0010585937500000007
31,-0.0008574218750000007
32,-0.0008710937500000007
33,-0.0011035156250000008
34,-0.0005820312500000004
35,-0.0004511718750000003
36,-0.0008476562500000006
37,-0.00044726562500000023
38,-0.0012207031250000009
39,-0.0002812500000000002
40,-0.0003496093750000002
41,-0.0004609375000000003
42,-0.0005839843750000004
43,-0.0002851562500000002
44,-0.0006445312500000005
45,-0.0004003906250000002
46,-0.0007441406250000006
47,-0.0006523437500000005
48,-0.0003535156250000002
49,-0.0015683593750000012
50,-0.0005136718750000003
