Episode,Average Reward
1,-0.006414062500000004
2,-0.006757812499999973
3,-0.007140624999999996
4,-0.0060390624999999715
5,-0.007128906249999981
6,-0.007089843750000003
7,-0.007171875000000002
8,-0.006562499999999991
9,-0.006414062500000003
10,-0.007222656249999972
11,-0.007458984375000005
12,-0.006615234374999984
13,-0.005714843749999982
14,-0.006324218749999968
15,-0.006929687500000001
16,-0.007718749999999976
17,-0.005562500000000002
18,-0.006523437499999992
19,-0.006429687500000002
20,-0.007488281250000002
21,-0.005406249999999999
22,-0.006613281249999973
23,-0.005820312500000001
24,-0.003515625000000001
25,-0.0036757812500000002
26,-0.006429687500000002
27,-0.006429687500000002
28,-0.004421875000000001
29,-0.00582812499999998
30,-0.004921874999999985
31,-0.005449218749999978
32,-0.006679687499999974
33,-0.0047968750000000025
34,-0.003359375
35,-0.006570312499999993
36,-0.006472656249999971
37,-0.006812499999999972
38,-0.006824218749999967
39,-0.004406249999999993
40,-0.007246093749999986
41,-0.005166015625
42,-0.006300781249999973
43,-0.006531249999999991
44,-0.005654296875000001
45,-0.006984374999999969
46,-0.007199218749999989
47,-0.004289062499999992
48,-0.0047968750000000025
49,-0.007214843749999983
50,-0.005859375000000003
51,-0.005117187499999986
52,-0.006421875000000002
53,-0.005589843749999987
54,-0.006460937500000003
55,-0.004234375
56,-0.006414062500000004
57,-0.008769531250000004
58,-0.00557421874999998
59,-0.0051328125
60,-0.007812500000000002
61,-0.006874999999999974
62,-0.007007812500000001
63,-0.005585937499999997
64,-0.005847656250000003
65,-0.007437500000000004
66,-0.006105468749999968
67,-0.006707031249999975
68,-0.006816406249999965
69,-0.0051953125
70,-0.007359374999999984
71,-0.004503906249999991
72,-0.00599609374999997
73,-0.007792968750000006
74,-0.007261718750000004
75,-0.004679687500000001
76,-0.005249999999999973
77,-0.006421875000000002
78,-0.007468750000000006
79,-0.0059062500000000035
80,-0.004214843749999999
81,-0.006999999999999974
82,-0.0071484374999999665
83,-0.004730468749999999
84,-0.005921874999999974
85,-0.005195312500000002
86,-0.006347656249999972
87,-0.006394531249999991
88,-0.005226562499999989
89,-0.005222656250000001
90,-0.006414062500000003
91,-0.002652343750000002
92,-0.0038730468750000006
93,-0.0045781250000000015
94,-0.006062499999999986
95,-0.004945312500000003
96,-0.0052734374999999735
97,-0.006414062500000003
98,-0.0038281249999999986
99,-0.004298828125000001
100,-0.005917968750000004
