Episode,Average Reward
1,-0.004617187500000002
2,-0.0059570312499999745
3,-0.0067539062499999665
4,-0.0053750000000000004
5,-0.006683593749999977
6,-0.008015625000000002
7,-0.006085937499999983
8,-0.005798828125000003
9,-0.006800781249999991
10,-0.0073945312499999975
11,-0.005156250000000001
12,-0.006183593750000005
13,-0.0055859375000000015
14,-0.006359374999999965
15,-0.005597656250000001
16,-0.006437500000000001
17,-0.006898437499999996
18,-0.0033749999999999982
19,-0.0072539062499999635
20,-0.005703125000000003
21,-0.006664062499999991
22,-0.0036093749999999993
23,-0.006437500000000004
24,-0.004882812500000002
25,-0.0052812499999999995
26,-0.005761718749999997
27,-0.004835937499999996
28,-0.004046874999999992
29,-0.002429687499999999
30,-0.003328124999999994
31,-0.0036484374999999985
32,-0.00431249999999998
33,-0.0023203124999999973
34,-0.002874999999999994
35,-0.0031328124999999937
36,-0.003312499999999996
37,-0.0025234374999999975
38,-0.003808593749999993
39,-0.003824218749999997
40,-0.0026152343749999947
41,-0.003273437499999994
42,-0.0015078125000000011
43,-0.0015234375000000011
44,-0.003179687499999992
45,-0.0021992187500000002
46,-0.0038124999999999964
47,-0.0021718749999999998
48,-0.0010664062500000007
49,-0.002810546874999998
50,-0.001312500000000001
51,-0.002117187499999999
52,-0.001326171875000001
53,-0.0024609374999999952
54,-0.002019531250000001
55,-0.0015781250000000012
56,-0.001257812500000001
57,-0.001402343750000001
58,-0.0024453124999999926
59,-0.0006542968750000004
60,-0.0012382812500000009
61,-0.0016738281250000013
62,-0.0016875000000000013
63,-0.0006035156250000004
64,-0.0009824218750000007
65,-0.001416015625000001
66,-0.0004765625000000003
67,-0.001351562500000001
68,-0.0007890625000000005
69,-0.001273437500000001
70,-0.002023437499999999
71,-0.0006562500000000005
72,-0.0017773437500000014
73,-0.001314453125000001
74,-0.0006171875000000004
75,-0.0006757812500000005
76,-0.0010097656250000007
77,-0.0017421875000000013
78,-0.0007890625000000006
79,-0.0009218750000000007
80,-0.0010371093750000007
81,-0.0006113281250000004
82,-0.001462890625000001
83,-0.0006660156250000005
84,-0.0017988281250000014
85,-0.001343750000000001
86,-0.0021484374999999984
87,-0.0011054687500000008
88,-0.004269531249999993
89,-0.0011718750000000008
90,-0.0005664062500000004
91,-0.001386718750000001
92,-0.0007050781250000005
93,-0.0009921875000000007
94,-0.0005625000000000003
95,-0.0012011718750000009
96,-0.0007285156250000005
97,-0.001328125000000001
98,-0.0007812500000000006
99,-0.0010078125000000007
100,-0.0009609375000000007
