Episode,Average Reward
1,-0.0005800781250000004
2,-0.00027929687500000014
3,-0.00040429687500000025
4,-0.00024218750000000016
5,-0.0004921875000000003
6,-0.0002578125000000002
7,-0.0009101562500000007
8,-0.00021679687500000017
9,-0.0005234375000000004
10,-0.0010742187500000007
11,-0.0005410156250000004
12,-0.0004746093750000003
13,-0.0002636718750000002
14,-0.0005703125000000004
15,-0.0008378906250000006
16,-0.0005625000000000004
17,-0.0005859375000000004
18,-0.0002656250000000002
19,-0.0003378906250000002
20,-0.00047460937500000037
21,-0.00041992187500000026
22,-0.0003515625000000002
23,-0.0002851562500000002
24,-0.0002832031250000002
25,-0.0004648437500000003
26,-0.0005175781250000004
27,-0.0009355468750000007
28,-0.00041796875000000026
29,-0.00034375000000000025
30,-0.00031445312500000017
31,-0.0005488281250000004
32,-0.0006464843750000005
33,-0.00040820312500000025
34,-0.00022070312500000017
35,-0.0002636718750000001
36,-0.0002558593750000001
37,-0.0004882812500000003
38,-0.0003203125000000002
39,-0.00030859375000000017
40,-0.00038476562500000023
41,-0.0004082031250000002
42,-0.00042968750000000033
43,-0.0003144531250000002
44,-0.0007265625000000005
45,-0.0004863281250000003
46,-0.0003710937500000003
47,-0.0003496093750000002
48,-0.0004335937500000003
49,-0.0002949218750000002
50,-0.0006210937500000004
51,-0.0007128906250000005
52,-0.0004687500000000003
53,-0.00041210937500000026
54,-0.0009179687500000007
55,-0.0003222656250000002
56,-0.00040625000000000025
57,-0.0002988281250000002
58,-0.0003925781250000003
59,-0.00024023437500000019
60,-0.0002695312500000002
61,-0.0004296875000000003
62,-0.001326171875000001
63,-0.00028710937500000015
64,-0.0002832031250000002
65,-0.0021328124999999997
66,-0.00020507812500000016
67,-0.0002988281250000002
68,-0.0003769531250000002
69,-0.00023437500000000018
70,-0.00035742187500000015
71,-0.0011289062500000008
72,-0.00029296875000000015
73,-0.0009121093750000007
74,-0.0007949218750000006
75,-0.0002988281250000002
76,-0.0003105468750000002
77,-0.0003398437500000002
78,-0.0010117187500000007
79,-0.0003261718750000002
80,-0.00038281250000000023
81,-0.00036718750000000016
82,-0.0003203125000000002
83,-0.00032031250000000023
84,-0.00046484375000000025
85,-0.00030664062500000016
86,-0.00033398437500000024
87,-0.0006542968750000005
88,-0.0004335937500000003
89,-0.0004355468750000003
90,-0.00040429687500000025
91,-0.00032031250000000023
92,-0.0002734375000000002
93,-0.0008652343750000007
94,-0.0003945312500000003
95,-0.00045312500000000024
96,-0.00030664062500000016
97,-0.0003789062500000002
98,-0.0003593750000000002
99,-0.00031835937500000023
100,-0.0002695312500000002
