Episode,Average Reward
1,-0.0052109374999999855
2,-0.005421875000000003
3,-0.004843750000000001
4,-0.0029453125000000013
5,-0.004976562500000002
6,-0.005117187500000002
7,-0.00305078125
8,-0.004898437500000001
9,-0.004367187500000001
10,-0.004726562500000001
11,-0.005257812500000002
12,-0.0047031250000000024
13,-0.003398437500000001
14,-0.00473828125
15,-0.0036386718750000004
16,-0.0030312499999999997
17,-0.0032988281249999992
18,-0.004511718749999992
19,-0.003185546875
20,-0.00333984375
21,-0.004638671875000003
22,-0.003156249999999998
23,-0.0030703124999999997
24,-0.005455078124999979
25,-0.004087890625000002
26,-0.0030312499999999997
27,-0.0039921875
28,-0.0035156249999999992
29,-0.0031484374999999985
30,-0.003943359374999999
31,-0.0034414062499999996
32,-0.0031953125
33,-0.003613281250000002
34,-0.003304687499999995
35,-0.0030976562499999997
36,-0.003443359375
37,-0.002970703124999999
38,-0.003566406249999997
39,-0.0029882812499999957
40,-0.0034726562499999966
41,-0.003234375
42,-0.003945312499999996
43,-0.0033300781249999975
44,-0.0026132812499999976
45,-0.003808593749999996
46,-0.0031249999999999945
47,-0.0031503906249999935
48,-0.0031835937499999946
49,-0.003726562499999997
50,-0.002904296874999998
