Episode,Average Reward
1,-0.0052109374999999855
2,-0.005421875000000003
3,-0.004835937500000001
4,-0.0029453125000000013
5,-0.005234375000000004
6,-0.005367187500000002
7,-0.004730468750000002
8,-0.0046796875000000016
9,-0.004359375000000001
10,-0.005156250000000004
11,-0.004779296875000002
12,-0.0047187500000000025
13,-0.003671875000000001
14,-0.0034335937500000004
15,-0.004070312499999999
16,-0.0033398437500000017
17,-0.0032734375
18,-0.003945312500000002
19,-0.0032363281250000005
20,-0.005074218749999993
21,-0.004640625000000003
22,-0.004328124999999999
23,-0.005798828125000001
24,-0.004246093749999996
25,-0.0035898437499999997
26,-0.003087890625
27,-0.004154296874999994
28,-0.003070312499999999
29,-0.0031953125
30,-0.0029531250000000005
31,-0.0035449218749999943
32,-0.00301953125
33,-0.0032968750000000016
34,-0.003074218749999997
35,-0.0030898437500000006
36,-0.0033769531249999976
37,-0.0033046874999999973
38,-0.0031777343749999996
39,-0.0029492187499999974
40,-0.0034140624999999965
41,-0.0032539062499999977
42,-0.003025390625000001
43,-0.0029804687499999996
44,-0.0027734374999999994
45,-0.003072265624999999
46,-0.003613281249999995
47,-0.0030917968749999947
48,-0.0031796874999999968
49,-0.0031367187499999945
50,-0.002929687499999997
