Episode,Average Reward
1,-0.0052109374999999855
2,-0.005421875000000003
3,-0.004828125000000002
4,-0.0032890625000000016
5,-0.0049609375000000035
6,-0.005117187500000002
7,-0.0030390625000000014
8,-0.004898437500000001
9,-0.004359375000000001
10,-0.005171875000000002
11,-0.005734375000000002
12,-0.0047109375000000024
13,-0.0033906250000000017
14,-0.004718750000000002
15,-0.004943359375000003
16,-0.0030234374999999996
17,-0.0032656250000000016
18,-0.005589843749999979
19,-0.0032578125
20,-0.0047460937499999994
21,-0.004656250000000002
22,-0.004578125
23,-0.004710937500000001
24,-0.005468749999999978
25,-0.004593750000000003
26,-0.004296875
27,-0.004953125
28,-0.006281250000000002
29,-0.004765625000000001
30,-0.005359375000000002
31,-0.0056796875000000024
32,-0.005617187499999977
33,-0.005441406249999979
34,-0.005406250000000001
35,-0.0038281250000000012
36,-0.0057031250000000025
37,-0.004234375000000001
38,-0.0042734375
39,-0.0050507812499999884
40,-0.004363281249999998
41,-0.004605468750000002
42,-0.005535156249999979
43,-0.0028125000000000003
44,-0.003199218750000001
45,-0.005097656249999988
46,-0.005380859374999998
47,-0.0035703125
48,-0.00467578125
49,-0.005308593749999998
50,-0.0028144531250000014
