Episode,Average Reward
1,-0.0035117187499999953
2,-0.003931640625
3,-0.0032539062499999977
4,-0.0026015625000000006
5,-0.003480468750000001
6,-0.0030605468749999986
7,-0.002923828124999999
8,-0.003124999999999998
9,-0.0028144531249999997
10,-0.003992187499999998
11,-0.003644531249999994
12,-0.00294140625
13,-0.003240234374999993
14,-0.002388671874999999
15,-0.0030468749999999984
16,-0.0034296874999999957
17,-0.003271484374999999
18,-0.003792968749999999
19,-0.003242187499999999
20,-0.003212890625000001
21,-0.0029042968749999998
22,-0.0032675781249999996
23,-0.00416406249999999
24,-0.003177734374999998
25,-0.0032500000000000016
26,-0.0040117187500000005
27,-0.0032011718749999974
28,-0.0034746093749999985
29,-0.0038652343749999963
30,-0.0031855468749999987
31,-0.0029980468750000007
32,-0.003046874999999998
33,-0.0030195312499999983
34,-0.0030722656249999986
35,-0.002814453125000001
36,-0.003457031249999998
37,-0.0030117187499999988
38,-0.0031542968749999987
39,-0.0045878906249999934
40,-0.0029980468749999994
41,-0.003392578124999997
42,-0.0033691406249999963
43,-0.0036816406250000013
44,-0.003144531249999999
45,-0.0041289062499999946
46,-0.0034179687499999965
47,-0.0034882812499999983
48,-0.0029394531249999985
49,-0.0032324218749999974
50,-0.003261718749999995
