Episode,Average Reward
1,-0.006503906249999998
2,-0.005898437500000004
3,-0.0065781249999999816
4,-0.005507812500000001
5,-0.006062499999999975
6,-0.004882812499999995
7,-0.0064375000000000005
8,-0.006226562499999988
9,-0.0053828125000000004
10,-0.005968749999999997
11,-0.004203125
12,-0.006085937499999999
13,-0.0041796875
14,-0.005064453124999983
15,-0.0064882812499999784
16,-0.0038652343749999993
17,-0.004992187500000001
18,-0.004898437499999999
19,-0.0036308593749999987
20,-0.004578124999999988
21,-0.0029882812500000005
22,-0.0025546874999999984
23,-0.003318359375000001
24,-0.0035507812499999993
25,-0.002144531250000001
26,-0.005060546874999989
27,-0.003480468749999996
28,-0.004697265624999994
29,-0.002310546875
30,-0.002833984374999996
31,-0.003162109374999996
32,-0.0021582031250000017
33,-0.004035156249999993
34,-0.002392578125
35,-0.0016230468750000012
36,-0.0024746093749999985
37,-0.0019863281250000015
38,-0.0022304687499999985
39,-0.003898437499999993
40,-0.0019902343750000007
41,-0.0021699218750000017
42,-0.0018437500000000014
43,-0.0023867187499999995
44,-0.0018964843750000015
45,-0.0038867187499999974
46,-0.002576171874999997
47,-0.0017207031250000013
48,-0.0017304687500000013
49,-0.002148437500000001
50,-0.0015546875000000012
51,-0.0015488281250000012
52,-0.0017773437500000014
53,-0.0015449218750000012
54,-0.0017324218750000013
55,-0.0019121093750000015
56,-0.0016152343750000012
57,-0.0019257812500000015
58,-0.001349609375000001
59,-0.0023652343749999997
60,-0.0016328125000000012
61,-0.0022890624999999994
62,-0.0020664062500000005
63,-0.0018828125000000015
64,-0.002150390625
65,-0.0017089843750000013
66,-0.0017148437500000013
67,-0.0019921875000000013
68,-0.0014941406250000011
69,-0.0019667968750000015
70,-0.0018828125000000015
71,-0.0015429687500000012
72,-0.0018144531250000014
73,-0.0015507812500000012
74,-0.002595703124999996
75,-0.0020273437500000014
76,-0.0016757812500000013
77,-0.0019746093750000015
78,-0.0015703125000000012
79,-0.0018085937500000014
80,-0.0017128906250000013
81,-0.001423828125000001
82,-0.0017246093750000013
83,-0.001462890625000001
84,-0.0015039062500000011
85,-0.001431640625000001
86,-0.0015039062500000011
87,-0.0022890625
88,-0.0015136718750000011
89,-0.0016386718750000012
90,-0.001457031250000001
91,-0.0020078125000000013
92,-0.0016562500000000013
93,-0.0018691406250000014
94,-0.001416015625000001
95,-0.0016406250000000012
96,-0.0023945312499999982
97,-0.0017851562500000014
98,-0.002703124999999997
99,-0.002591796874999995
100,-0.0018867187500000015
