Episode,Average Reward
1,-0.0008203125000000006
2,-0.0007500000000000006
3,-0.0004843750000000004
4,-0.0002734375000000001
5,-0.0004296875000000002
6,-0.0003437500000000002
7,-0.00043945312500000034
8,-0.0003359375000000002
9,-0.0002578125000000001
10,-0.0006972656250000005
11,-0.00039843750000000025
12,-0.0005156250000000003
13,-0.0007187500000000005
14,-0.0005468750000000004
15,-0.0004199218750000003
16,-0.0002187500000000001
17,-0.0007109375000000005
18,-0.0004843750000000003
19,-0.00035156250000000026
20,-0.0006015625000000004
21,-0.0005722656250000004
22,-0.0005703125000000004
23,-0.0005546875000000004
24,-0.0005488281250000004
25,-0.0007070312500000005
26,-0.00028320312500000014
27,-0.0007734375000000006
28,-0.00038281250000000023
29,-0.0005234375000000004
30,-0.0005468750000000004
31,-0.00036718750000000027
32,-0.0004531250000000003
33,-0.0004160156250000003
34,-0.0009335937500000007
35,-0.00042968750000000033
36,-0.0004179687500000003
37,-0.00023437500000000018
38,-0.0006484375000000005
39,-0.0012207031250000009
40,-0.0006718750000000005
41,-0.00039843750000000025
42,-0.0004296875000000003
43,-0.0002656250000000002
44,-0.0005000000000000003
45,-0.0002109375000000001
46,-0.0002578125000000002
47,-0.0003125000000000002
48,-0.0006406250000000005
49,-0.00036718750000000027
50,-0.0009941406250000007
