Episode,Average Reward
1,-0.003835937499999997
2,-0.002367187499999999
3,-0.0038984374999999957
4,-0.003882812499999997
5,-0.0038671874999999965
6,-0.003945312499999991
7,-0.003884765624999994
8,-0.0038828124999999956
9,-0.0038593749999999965
10,-0.0038847656249999933
11,-0.003148437499999995
12,-0.0038281249999999978
13,-0.0038906249999999965
14,-0.0038828124999999935
15,-0.003873046874999996
16,-0.003835937499999995
17,-0.0020468750000000005
18,-0.0038828124999999935
19,-0.003890624999999996
20,-0.003851562499999995
21,-0.0035332031249999955
22,-0.0038671874999999943
23,-0.003867187499999996
24,-0.0023457031249999997
25,-0.0038632812499999956
26,-0.003908203124999996
27,-0.003874999999999996
28,-0.0035468749999999953
29,-0.0038828124999999948
30,-0.002960937499999995
31,-0.0038671874999999935
32,-0.002679687499999998
33,-0.003916015624999992
34,-0.0030664062499999927
35,-0.003882812499999996
36,-0.0038867187499999935
37,-0.0038359375
38,-0.0038828124999999965
39,-0.003861328124999996
40,-0.003859374999999998
41,-0.003867187499999994
42,-0.003867187499999997
43,-0.0025624999999999997
44,-0.003843749999999997
45,-0.003843749999999997
46,-0.003898437499999993
47,-0.003828124999999997
48,-0.0038515624999999947
49,-0.003921874999999991
50,-0.0033691406249999932
