Episode,Average Reward
1,-0.003726562500000002
2,-0.004070312499999998
3,-0.004843750000000002
4,-0.003421875000000001
5,-0.004441406250000001
6,-0.004402343750000002
7,-0.004859375000000001
8,-0.0038750000000000013
9,-0.003726562500000002
10,-0.004535156249999997
11,-0.004779296875000002
12,-0.003943359375000003
13,-0.00395703125
14,-0.004386718749999991
15,-0.004242187500000002
16,-0.006007812499999991
17,-0.003726562500000002
18,-0.0038281250000000012
19,-0.003726562500000001
20,-0.005058593750000003
21,-0.003007812499999998
22,-0.004175781250000001
23,-0.003734375
24,-0.0023125000000000008
25,-0.0034765625
26,-0.0037421875
27,-0.003203125
28,-0.0017421875000000013
29,-0.0046874999999999886
30,-0.00236328125
31,-0.0036093749999999993
32,-0.004390625000000003
33,-0.0021093750000000006
34,-0.001351562500000001
35,-0.0038750000000000013
36,-0.0052070312499999825
37,-0.004124999999999998
38,-0.004277343749999993
39,-0.0028515624999999995
40,-0.004550781249999997
41,-0.002701171875
42,-0.004167968749999996
43,-0.003843750000000002
44,-0.0037246093750000014
45,-0.004859375
46,-0.004519531250000001
47,-0.0031757812500000007
48,-0.002750000000000002
49,-0.005195312499999992
50,-0.003480468750000001
