Episode,Average Reward
1,-0.0006152343750000004
2,-0.00024804687500000017
3,-0.0003652343750000002
4,-0.0012246093750000009
5,-0.00043750000000000033
6,-0.00020703125000000016
7,-0.001320312500000001
8,-0.00019921875000000015
9,-0.00024804687500000017
10,-0.0010351562500000007
11,-0.0005390625000000004
12,-0.0008164062500000006
13,-0.0005781250000000004
14,-0.001248046875000001
15,-0.0007636718750000006
16,-0.0006660156250000005
17,-0.0005156250000000003
18,-0.0003886718750000003
19,-0.00029101562500000015
20,-0.0002636718750000002
21,-0.0003066406250000002
22,-0.0003027343750000002
23,-0.00022851562500000015
24,-0.0002871093750000002
25,-0.0005175781250000004
26,-0.0005605468750000004
27,-0.00018164062500000013
28,-0.0003398437500000002
29,-0.0004960937500000003
30,-0.0009453125000000007
31,-0.0004882812500000003
32,-0.0009296875000000007
33,-0.0004648437500000003
34,-0.00016796875000000012
35,-0.0002539062500000001
36,-0.0006699218750000005
37,-0.00040820312500000025
38,-0.0002578125000000001
39,-0.0002832031250000002
40,-0.00041015625000000026
41,-0.0004550781250000003
42,-0.0004921875000000003
43,-0.00033398437500000024
44,-0.0004394531250000003
45,-0.0004062500000000002
46,-0.0003046875000000002
47,-0.00039453125000000024
48,-0.0005312500000000004
49,-0.0009316406250000007
50,-0.00028320312500000014
