Episode,Average Reward
1,-0.004179687499999994
2,-0.004390625
3,-0.005128906250000001
4,-0.005136718750000002
5,-0.004124999999999997
6,-0.005093749999999997
7,-0.003750000000000001
8,-0.004996093749999988
9,-0.0037500000000000003
10,-0.0045351562499999915
11,-0.003789062500000001
12,-0.004226562499999996
13,-0.004066406249999999
14,-0.0054296874999999805
15,-0.004908203125000002
16,-0.0044843750000000005
17,-0.004792968749999989
18,-0.004785156249999997
19,-0.005597656249999984
20,-0.005175781249999995
