Episode,Average Reward
1,-0.003158203124999998
2,-0.0023300781249999966
3,-0.0030332031249999955
4,-0.002876953124999997
5,-0.003062499999999997
6,-0.0029374999999999974
7,-0.0033593749999999917
8,-0.003007812499999994
9,-0.002988281249999998
10,-0.003785156249999994
11,-0.003148437499999996
12,-0.003527343749999998
13,-0.003009765624999996
14,-0.003015624999999998
15,-0.003439453124999997
16,-0.0024648437499999974
17,-0.004460937499999994
18,-0.003115234374999998
19,-0.003226562499999995
20,-0.0032714843749999992
21,-0.003304687499999998
22,-0.003013671874999997
23,-0.002943359374999998
24,-0.002923828124999998
25,-0.003082031249999998
26,-0.0031367187499999963
27,-0.00285546875
28,-0.002990234374999998
29,-0.0029882812500000014
30,-0.003619140625000002
31,-0.0029121093750000006
32,-0.0031406250000000024
33,-0.0034140625
34,-0.002347656249999997
35,-0.003361328125000001
36,-0.003382812499999999
37,-0.0031660156250000013
38,-0.002933593749999999
39,-0.0030234374999999983
40,-0.002564453125
41,-0.0029746093749999985
42,-0.002693359374999995
43,-0.0029589843750000002
44,-0.003044921874999999
45,-0.0028808593750000015
46,-0.0034433593750000002
47,-0.0008339843750000006
48,-0.003404296875000002
49,-0.003193359375000001
50,-0.00344921875
51,-0.0035703124999999975
52,-0.0030410156250000007
53,-0.0031875000000000007
54,-0.003078125000000001
55,-0.003437500000000001
56,-0.0030234375000000014
57,-0.0029921875000000014
58,-0.0036035156250000004
59,-0.0030527343749999995
60,-0.0030175781250000016
61,-0.0030332031249999973
62,-0.003337890625
63,-0.0030097656250000007
64,-0.0029980468750000016
65,-0.0031347656250000026
66,-0.003439453125000002
67,-0.0035937499999999993
68,-0.003044921875000001
69,-0.002955078125000001
70,-0.002990234375000001
71,-0.0031621093750000017
72,-0.0030273437499999997
73,-0.0030644531250000003
74,-0.0029863281250000016
75,-0.0030625
76,-0.0030332031250000016
77,-0.0032773437500000007
78,-0.004003906249999999
79,-0.003005859374999998
80,-0.0029648437500000005
81,-0.0029550781250000024
82,-0.0029609375000000005
83,-0.002998046875
84,-0.0030507812500000023
85,-0.0030410156250000025
86,-0.0029609375000000005
87,-0.0033164062500000008
88,-0.0030078125000000014
89,-0.00332421875
90,-0.0029843750000000005
91,-0.0030722656250000008
92,-0.0030195312499999996
93,-0.0031015625000000006
94,-0.0030390625000000005
95,-0.0030117187500000014
96,-0.0030214843750000016
97,-0.0029863281250000007
98,-0.0029179687500000013
99,-0.002986328125000001
100,-0.0029316406250000015
