Episode,Average Reward
1,-0.002710937500000002
2,-0.0030546875000000014
3,-0.0034375000000000005
4,-0.003648437500000002
5,-0.0034257812500000017
6,-0.004289062499999999
7,-0.003792968750000001
8,-0.0032382812500000016
9,-0.002718750000000001
10,-0.0024687500000000005
11,-0.003769531250000002
12,-0.003982421875000004
13,-0.002648437500000001
14,-0.0026445312499999993
15,-0.0019960937500000013
16,-0.0032812500000000016
17,-0.002687500000000002
18,-0.0029804687500000013
19,-0.0027109375000000002
20,-0.0034179687500000017
21,-0.0024453125
22,-0.0026328125
23,-0.0021484375000000015
24,-0.002757812500000002
25,-0.001355468750000001
26,-0.001453125000000001
27,-0.0021835937500000006
28,-0.0015234375000000011
29,-0.0019843750000000013
30,-0.0022226562500000007
31,-0.0015664062500000012
32,-0.0017343750000000013
33,-0.001359375000000001
34,-0.0017265625000000013
35,-0.001398437500000001
36,-0.0015527343750000012
37,-0.00039843750000000025
38,-0.0015683593750000012
39,-0.0002949218750000002
40,-0.0007070312500000005
41,-0.0005937500000000004
42,-0.00035742187500000026
43,-0.0005253906250000004
44,-0.00021289062500000016
45,-0.0010429687500000007
46,-0.0010410156250000007
47,-0.0003984375000000003
48,-0.00025000000000000017
49,-0.001458984375000001
50,-0.0009375000000000007
51,-0.0007753906250000006
52,-0.0010742187500000007
53,-0.00045507812500000035
54,-0.001486328125000001
55,-0.0001523437500000001
56,-0.0003867187500000003
57,-0.0021406249999999963
58,-0.0003105468750000002
59,-0.001988281250000001
60,-0.0018144531250000014
61,-0.0002578125000000002
62,-0.0010449218750000007
63,-0.0007851562500000006
64,-0.0012167968750000009
65,-0.0026347656249999965
66,-0.0006621093750000005
67,-0.0008378906250000006
68,-0.0005351562500000004
69,-0.0006835937500000005
70,-0.00038671875000000024
71,-0.0009023437500000007
72,-0.0005117187500000003
73,-0.0019570312500000013
74,-0.0007421875000000006
75,-0.0005332031250000004
76,-0.001292968750000001
77,-0.00036328125000000027
78,-0.001349609375000001
79,-0.0007304687500000005
80,-0.0003886718750000003
81,-0.0003105468750000002
82,-0.0011113281250000008
83,-0.0003828125000000003
84,-0.0007519531250000005
85,-0.0009648437500000007
86,-0.0008593750000000007
87,-0.0008085937500000006
88,-0.001306640625000001
89,-0.0007890625000000006
90,-0.00026757812500000013
91,-0.0001601562500000001
92,-0.0011796875000000008
93,-0.00039843750000000025
94,-0.0004257812500000003
95,-0.0004277343750000003
96,-0.00032812500000000024
97,-0.0002988281250000002
98,-0.0012187500000000009
99,-0.0007285156250000005
100,-0.0017656250000000014
